job,marital,education,housing,loan,contact,month,day_of_week,age,pdays,emp_var_rate,cons_conf_idx,y,age_group,housing_loan_interaction
housemaid,married,basic.4y,no,no,telephone,may,mon,56,999,1.1,-36.4,0,senior,no_no
services,married,high.school,no,no,telephone,may,mon,57,999,1.1,-36.4,0,senior,no_no
services,married,high.school,yes,no,telephone,may,mon,37,999,1.1,-36.4,0,adult,yes_no
admin.,married,basic.6y,no,no,telephone,may,mon,40,999,1.1,-36.4,0,adult,no_no
services,married,high.school,no,yes,telephone,may,mon,56,999,1.1,-36.4,0,senior,no_yes
services,married,basic.9y,no,no,telephone,may,mon,45,999,1.1,-36.4,0,adult,no_no
admin.,married,professional.course,no,no,telephone,may,mon,59,999,1.1,-36.4,0,senior,no_no
blue-collar,married,unknown,no,no,telephone,may,mon,41,999,1.1,-36.4,0,adult,no_no
technician,single,professional.course,yes,no,telephone,may,mon,24,999,1.1,-36.4,0,youth,yes_no
services,single,high.school,yes,no,telephone,may,mon,25,999,1.1,-36.4,0,adult,yes_no
blue-collar,single,high.school,no,yes,telephone,may,mon,29,999,1.1,-36.4,0,adult,no_yes
housemaid,divorced,basic.4y,yes,no,telephone,may,mon,57,999,1.1,-36.4,0,senior,yes_no
blue-collar,married,basic.6y,yes,no,telephone,may,mon,35,999,1.1,-36.4,0,adult,yes_no
retired,married,basic.9y,yes,yes,telephone,may,mon,54,999,1.1,-36.4,0,senior,yes_yes
blue-collar,married,basic.6y,yes,yes,telephone,may,mon,46,999,1.1,-36.4,0,adult,yes_yes
blue-collar,married,basic.9y,yes,yes,telephone,may,mon,50,999,1.1,-36.4,0,senior,yes_yes
management,single,basic.9y,no,no,telephone,may,mon,39,999,1.1,-36.4,0,adult,no_no
unemployed,married,high.school,no,no,telephone,may,mon,30,999,1.1,-36.4,0,adult,no_no
blue-collar,married,basic.4y,yes,no,telephone,may,mon,55,999,1.1,-36.4,0,senior,yes_no
retired,single,high.school,yes,no,telephone,may,mon,55,999,1.1,-36.4,0,senior,yes_no
technician,single,high.school,yes,no,telephone,may,mon,41,999,1.1,-36.4,0,adult,yes_no
admin.,married,high.school,yes,no,telephone,may,mon,37,999,1.1,-36.4,0,adult,yes_no
technician,married,university.degree,no,yes,telephone,may,mon,35,999,1.1,-36.4,0,adult,no_yes
technician,married,unknown,yes,no,telephone,may,mon,59,999,1.1,-36.4,0,senior,yes_no
self-employed,married,basic.9y,no,no,telephone,may,mon,39,999,1.1,-36.4,0,adult,no_no
technician,single,university.degree,no,no,telephone,may,mon,54,999,1.1,-36.4,0,senior,no_no
unknown,married,university.degree,unknown,unknown,telephone,may,mon,55,999,1.1,-36.4,0,senior,unknown_unknown
admin.,married,unknown,no,no,telephone,may,mon,46,999,1.1,-36.4,0,adult,no_no
blue-collar,married,unknown,no,no,telephone,may,mon,49,999,1.1,-36.4,0,adult,no_no
management,married,basic.4y,yes,no,telephone,may,mon,54,999,1.1,-36.4,0,senior,yes_no
blue-collar,divorced,basic.4y,no,no,telephone,may,mon,54,999,1.1,-36.4,0,senior,no_no
unknown,married,basic.4y,yes,no,telephone,may,mon,55,999,1.1,-36.4,0,senior,yes_no
services,married,high.school,no,no,telephone,may,mon,34,999,1.1,-36.4,0,adult,no_no
technician,married,basic.9y,yes,no,telephone,may,mon,52,999,1.1,-36.4,0,senior,yes_no
admin.,married,university.degree,yes,no,telephone,may,mon,41,999,1.1,-36.4,0,adult,yes_no
technician,married,basic.4y,yes,no,telephone,may,mon,56,999,1.1,-36.4,0,senior,yes_no
management,married,university.degree,yes,no,telephone,may,mon,58,999,1.1,-36.4,0,senior,yes_no
entrepreneur,married,high.school,yes,no,telephone,may,mon,32,999,1.1,-36.4,0,adult,yes_no
admin.,single,professional.course,no,no,telephone,may,mon,38,999,1.1,-36.4,0,adult,no_no
admin.,married,university.degree,no,yes,telephone,may,mon,57,999,1.1,-36.4,0,senior,no_yes
admin.,married,university.degree,yes,no,telephone,may,mon,44,999,1.1,-36.4,0,adult,yes_no
technician,single,professional.course,no,no,telephone,may,mon,42,999,1.1,-36.4,0,adult,no_no
admin.,married,university.degree,yes,yes,telephone,may,mon,57,999,1.1,-36.4,0,senior,yes_yes
blue-collar,married,basic.9y,no,yes,telephone,may,mon,40,999,1.1,-36.4,0,adult,no_yes
admin.,married,university.degree,yes,no,telephone,may,mon,35,999,1.1,-36.4,0,adult,yes_no
blue-collar,married,basic.9y,yes,no,telephone,may,mon,45,999,1.1,-36.4,0,adult,yes_no
admin.,married,high.school,no,no,telephone,may,mon,54,999,1.1,-36.4,0,senior,no_no
housemaid,married,basic.4y,no,yes,telephone,may,mon,39,999,1.1,-36.4,0,adult,no_yes
admin.,married,high.school,no,no,telephone,may,mon,60,999,1.1,-36.4,0,senior,no_no
admin.,single,professional.course,no,no,telephone,may,mon,53,999,1.1,-36.4,0,senior,no_no
blue-collar,married,basic.4y,no,no,telephone,may,mon,55,999,1.1,-36.4,0,senior,no_no
technician,married,professional.course,yes,no,telephone,may,mon,55,999,1.1,-36.4,0,senior,yes_no
management,married,university.degree,no,yes,telephone,may,mon,50,999,1.1,-36.4,0,senior,no_yes
services,married,high.school,yes,no,telephone,may,mon,45,999,1.1,-36.4,0,adult,yes_no
